# strain(%)  gap_at_K(eV)  v_F_MK(eV/k)  v_F_KG(eV/k)  v_ratio
   0    0.000000     13.2162     15.3904    0.8587
   2    0.238000     12.2426     13.1550    0.9306
   4    0.478900     11.4539     11.1890    1.0237
   6    0.731800     10.8569      9.4825    1.1449
   8    0.992200     10.3417      8.0620    1.2828
  10    1.267700      9.9305      6.9357    1.4318
  12    1.554700      9.6096      6.0799    1.5806
  14    1.858500      9.3727      5.4698    1.7135
  16    2.174400      9.2178      5.0562    1.8231
  18    2.507600      9.1494      4.8370    1.8915
  20    2.853300      9.1679      4.7623    1.9251
